stage,shard_id,start_ts,duration_s,notes
save_enc,shard_37,1761272732.7482438,0.000000,3_p2p_storage\shards\shard_37.enc
shamir_split,shard_37,1761272732.7482438,0.000000,n=5;t=3
distribute_shares,shard_37,1761272732.7516406,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_37,1761272732.7516406,0.023510,replicated_to=5
encrypt,shard_38,1761272732.7768645,0.001330,rows=3000
save_enc,shard_38,1761272732.7781944,0.002044,3_p2p_storage\shards\shard_38.enc
shamir_split,shard_38,1761272732.7802386,0.000000,n=5;t=3
distribute_shares,shard_38,1761272732.781999,0.002876,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_38,1761272732.7848747,0.019982,replicated_to=5
encrypt,shard_39,1761272732.8061092,0.002482,rows=3000
save_enc,shard_39,1761272732.8085914,0.001002,3_p2p_storage\shards\shard_39.enc
shamir_split,shard_39,1761272732.8095932,0.000000,n=5;t=3
distribute_shares,shard_39,1761272732.8108318,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_39,1761272732.8108318,0.020507,replicated_to=5
encrypt,shard_40,1761272732.8329237,0.000000,rows=3000
save_enc,shard_40,1761272732.8329237,0.000000,3_p2p_storage\shards\shard_40.enc
shamir_split,shard_40,1761272732.8329237,0.000000,n=5;t=3
distribute_shares,shard_40,1761272732.8329237,0.007599,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_40,1761272732.8405225,0.021620,replicated_to=5
encrypt,shard_41,1761272732.8631418,0.002010,rows=3000
save_enc,shard_41,1761272732.865152,0.001003,3_p2p_storage\shards\shard_41.enc
shamir_split,shard_41,1761272732.8661544,0.000000,n=5;t=3
distribute_shares,shard_41,1761272732.8661544,0.002124,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_41,1761272732.8682783,0.020118,replicated_to=5
encrypt,shard_42,1761272732.888396,0.000000,rows=3000
save_enc,shard_42,1761272732.888396,0.000000,3_p2p_storage\shards\shard_42.enc
shamir_split,shard_42,1761272732.888396,0.000000,n=5;t=3
distribute_shares,shard_42,1761272732.888396,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_42,1761272732.888396,0.032597,replicated_to=5
encrypt,shard_43,1761272732.9209929,0.002308,rows=3000
save_enc,shard_43,1761272732.9243014,0.000000,3_p2p_storage\shards\shard_43.enc
shamir_split,shard_43,1761272732.9243014,0.000000,n=5;t=3
distribute_shares,shard_43,1761272732.9243014,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_43,1761272732.9283636,0.018772,replicated_to=5
encrypt,shard_44,1761272732.948577,0.001493,rows=3000
save_enc,shard_44,1761272732.9500704,0.000000,3_p2p_storage\shards\shard_44.enc
shamir_split,shard_44,1761272732.9500704,0.000000,n=5;t=3
distribute_shares,shard_44,1761272732.9500704,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_44,1761272732.9500704,0.024949,replicated_to=5
encrypt,shard_45,1761272732.976022,0.002447,rows=3000
save_enc,shard_45,1761272732.9784694,0.000000,3_p2p_storage\shards\shard_45.enc
shamir_split,shard_45,1761272732.9784694,0.000000,n=5;t=3
distribute_shares,shard_45,1761272732.9784694,0.004089,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_45,1761272732.9825585,0.022288,replicated_to=5
encrypt,shard_46,1761272733.0048468,0.004089,rows=3000
save_enc,shard_46,1761272733.010293,0.000000,3_p2p_storage\shards\shard_46.enc
shamir_split,shard_46,1761272733.010293,0.000000,n=5;t=3
distribute_shares,shard_46,1761272733.010293,0.005181,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_46,1761272733.0169814,0.026917,replicated_to=5
encrypt,shard_47,1761272733.045038,0.000000,rows=3000
save_enc,shard_47,1761272733.045038,0.000000,3_p2p_storage\shards\shard_47.enc
shamir_split,shard_47,1761272733.045038,0.000000,n=5;t=3
distribute_shares,shard_47,1761272733.0518985,0.002746,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_47,1761272733.055655,0.022144,replicated_to=5
encrypt,shard_48,1761272733.0818563,0.001471,rows=3000
save_enc,shard_48,1761272733.0851274,0.001376,3_p2p_storage\shards\shard_48.enc
shamir_split,shard_48,1761272733.0865037,0.000000,n=5;t=3
distribute_shares,shard_48,1761272733.0865037,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_48,1761272733.0865037,0.019756,replicated_to=5
encrypt,shard_49,1761272733.1062598,0.000000,rows=3000
save_enc,shard_49,1761272733.115661,0.000000,3_p2p_storage\shards\shard_49.enc
shamir_split,shard_49,1761272733.115661,0.003951,n=5;t=3
